seqid,start,end,source,type,score,strand,phase,attributes
contig_32,208142,208595,ena,CDS,.,+,0,.
contig_32,205669,206188,ena,CDS,.,+,0,.
contig_32,201866,204203,ena,CDS,.,+,0,.
contig_32,201224,201410,ena,CDS,.,+,0,.
contig_32,200399,200624,ena,CDS,.,+,0,.
contig_32,199621,200320,ena,CDS,.,+,0,.
contig_32,197057,199526,ena,CDS,.,+,0,.
contig_32,194457,196956,ena,CDS,.,+,0,.
contig_32,193225,193414,ena,CDS,.,+,0,.
contig_32,192733,193018,ena,CDS,.,+,0,.
contig_32,189455,191879,ena,CDS,.,+,0,.
contig_32,187768,188020,ena,CDS,.,+,0,.
contig_32,187405,187633,ena,CDS,.,+,0,.
contig_32,187204,187369,ena,CDS,.,+,0,.
contig_32,186786,187089,ena,CDS,.,+,0,.
contig_32,185586,186426,ena,CDS,.,+,0,.
contig_32,184468,184621,ena,CDS,.,+,0,.
contig_32,183859,183973,ena,CDS,.,+,0,.
contig_32,183169,183460,ena,CDS,.,+,0,.
contig_32,181951,182224,ena,CDS,.,+,0,.
contig_32,180780,181404,ena,CDS,.,+,0,.
contig_32,179540,180413,ena,CDS,.,+,0,.
contig_32,178355,179072,ena,CDS,.,+,0,.
contig_32,177264,177912,ena,CDS,.,+,0,.
contig_32,176876,177251,ena,CDS,.,+,0,.
contig_32,175360,176827,ena,CDS,.,+,0,.
contig_32,173569,175318,ena,CDS,.,+,0,.
contig_32,172226,173537,ena,CDS,.,+,0,.
contig_32,171431,172148,ena,CDS,.,+,0,.
contig_32,168538,169144,ena,CDS,.,+,0,.
contig_32,167997,168450,ena,CDS,.,+,0,.
contig_32,167432,167963,ena,CDS,.,+,0,.
contig_32,166944,167415,ena,CDS,.,+,0,.
contig_32,166499,166910,ena,CDS,.,+,0,.
contig_32,165879,166146,ena,CDS,.,+,0,.
contig_32,165289,165661,ena,CDS,.,+,0,.
contig_32,159854,160658,ena,CDS,.,+,0,.
contig_32,158723,159848,ena,CDS,.,+,0,.
contig_32,150706,152686,ena,CDS,.,+,0,.
contig_32,149982,150486,ena,CDS,.,+,0,.
contig_32,143516,148394,ena,CDS,.,+,0,.
contig_32,142279,143359,ena,CDS,.,+,0,.
contig_32,141221,142010,ena,CDS,.,+,0,.
contig_32,140661,140982,ena,CDS,.,+,0,.
contig_32,139266,139716,ena,CDS,.,+,0,.
contig_32,136603,139021,ena,CDS,.,+,0,.
contig_32,134803,135721,ena,CDS,.,+,0,.
contig_32,133998,134556,ena,CDS,.,+,0,.
contig_32,133834,133990,ena,CDS,.,+,0,.
contig_32,132704,133574,ena,CDS,.,+,0,.
contig_32,131366,132428,ena,CDS,.,+,0,.
contig_32,130455,131238,ena,CDS,.,+,0,.
contig_32,129894,130440,ena,CDS,.,+,0,.
contig_32,128531,129863,ena,CDS,.,+,0,.
contig_32,127433,128501,ena,CDS,.,+,0,.
contig_32,127008,127419,ena,CDS,.,+,0,.
contig_32,126358,126979,ena,CDS,.,+,0,.
contig_32,125544,125742,ena,CDS,.,+,0,.
contig_32,124190,125327,ena,CDS,.,+,0,.
contig_32,122587,124174,ena,CDS,.,+,0,.
contig_32,121120,122125,ena,CDS,.,+,0,.
contig_32,120577,121099,ena,CDS,.,+,0,.
contig_32,119873,120395,ena,CDS,.,+,0,.
contig_32,118028,119807,ena,CDS,.,+,0,.
contig_32,117559,117829,ena,CDS,.,+,0,.
contig_32,117139,117277,ena,CDS,.,+,0,.
contig_32,115396,115663,ena,CDS,.,+,0,.
contig_32,114886,115027,ena,CDS,.,+,0,.
contig_32,113429,113594,ena,CDS,.,+,0,.
contig_32,110673,111372,ena,CDS,.,+,0,.
contig_32,109733,110615,ena,CDS,.,+,0,.
contig_32,108216,109653,ena,CDS,.,+,0,.
contig_32,107034,107238,ena,CDS,.,+,0,.
contig_32,102475,106906,ena,CDS,.,+,0,.
contig_32,101999,102446,ena,CDS,.,+,0,.
contig_32,100405,101743,ena,CDS,.,+,0,.
contig_32,99593,100403,ena,CDS,.,+,0,.
contig_32,97901,98615,ena,CDS,.,+,0,.
contig_32,95962,96154,ena,CDS,.,+,0,.
contig_32,95140,95287,ena,CDS,.,+,0,.
contig_32,92745,93540,ena,CDS,.,+,0,.
contig_32,91331,92492,ena,CDS,.,+,0,.
contig_32,89977,91045,ena,CDS,.,+,0,.
contig_32,86722,89347,ena,CDS,.,+,0,.
contig_32,86412,86649,ena,CDS,.,+,0,.
contig_32,84573,85860,ena,CDS,.,+,0,.
contig_32,83987,84449,ena,CDS,.,+,0,.
contig_32,79821,82098,ena,CDS,.,+,0,.
contig_32,79453,79774,ena,CDS,.,+,0,.
contig_32,76379,78605,ena,CDS,.,+,0,.
contig_32,74845,75337,ena,CDS,.,+,0,.
contig_32,73721,74645,ena,CDS,.,+,0,.
contig_32,73405,73633,ena,CDS,.,+,0,.
contig_32,67774,69535,ena,CDS,.,+,0,.
contig_32,66941,67172,ena,CDS,.,+,0,.
contig_32,63525,66315,ena,CDS,.,+,0,.
contig_32,62769,63447,ena,CDS,.,+,0,.
contig_32,62022,62763,ena,CDS,.,+,0,.
contig_32,61155,61932,ena,CDS,.,+,0,.
contig_32,60457,61015,ena,CDS,.,+,0,.
contig_32,58516,59998,ena,CDS,.,+,0,.
contig_32,50768,52649,ena,CDS,.,+,0,.
contig_32,47516,48323,ena,CDS,.,+,0,.
contig_32,44642,44771,ena,CDS,.,+,0,.
contig_32,42809,42962,ena,CDS,.,+,0,.
contig_32,41921,42386,ena,CDS,.,+,0,.
contig_32,40672,41428,ena,CDS,.,+,0,.
contig_32,40132,40513,ena,CDS,.,+,0,.
contig_32,37754,39506,ena,CDS,.,+,0,.
contig_32,35568,37722,ena,CDS,.,+,0,.
contig_32,33513,34758,ena,CDS,.,+,0,.
contig_32,33143,33503,ena,CDS,.,+,0,.
contig_32,31705,32827,ena,CDS,.,+,0,.
contig_32,30392,30671,ena,CDS,.,+,0,.
contig_32,29348,29534,ena,CDS,.,+,0,.
contig_32,28347,28782,ena,CDS,.,+,0,.
contig_32,24812,25793,ena,CDS,.,+,0,.
contig_32,23517,24060,ena,CDS,.,+,0,.
contig_32,22461,23337,ena,CDS,.,+,0,.
contig_32,21853,22444,ena,CDS,.,+,0,.
contig_32,21515,21836,ena,CDS,.,+,0,.
contig_32,20250,21447,ena,CDS,.,+,0,.
contig_32,19816,19987,ena,CDS,.,+,0,.
contig_32,19164,19296,ena,CDS,.,+,0,.
contig_32,17492,17747,ena,CDS,.,+,0,.
contig_32,15213,15972,ena,CDS,.,+,0,.
contig_32,12688,14962,ena,CDS,.,+,0,.
contig_32,12085,12502,ena,CDS,.,+,0,.
contig_32,11397,11697,ena,CDS,.,+,0,.
contig_32,8650,10786,ena,CDS,.,+,0,.
contig_32,7259,8537,ena,CDS,.,+,0,.
contig_32,4920,6501,ena,CDS,.,+,0,.
contig_32,3225,4710,ena,CDS,.,+,0,.
contig_32,1194,3066,ena,CDS,.,+,0,.
contig_32,507,972,ena,CDS,.,+,0,.
contig_17,185200,186718,ena,CDS,.,+,0,.
contig_17,179895,182052,ena,CDS,.,+,0,.
contig_17,178841,178991,ena,CDS,.,+,0,.
contig_17,177705,178509,ena,CDS,.,+,0,.
contig_17,177387,177690,ena,CDS,.,+,0,.
contig_17,176851,177211,ena,CDS,.,+,0,.
contig_17,175208,176027,ena,CDS,.,+,0,.
contig_17,174488,175088,ena,CDS,.,+,0,.
contig_17,174024,174225,ena,CDS,.,+,0,.
contig_17,172072,172357,ena,CDS,.,+,0,.
contig_17,170262,170433,ena,CDS,.,+,0,.
contig_17,169294,169606,ena,CDS,.,+,0,.
contig_17,165949,166666,ena,CDS,.,+,0,.
contig_17,164067,164331,ena,CDS,.,+,0,.
contig_17,162531,162828,ena,CDS,.,+,0,.
contig_17,161131,162409,ena,CDS,.,+,0,.
contig_17,160748,160961,ena,CDS,.,+,0,.
contig_17,159749,160511,ena,CDS,.,+,0,.
contig_17,157296,157410,ena,CDS,.,+,0,.
contig_17,154983,156594,ena,CDS,.,+,0,.
contig_17,154066,154561,ena,CDS,.,+,0,.
contig_17,152340,154065,ena,CDS,.,+,0,.
contig_17,150051,151881,ena,CDS,.,+,0,.
contig_17,148949,149888,ena,CDS,.,+,0,.
contig_17,147529,148576,ena,CDS,.,+,0,.
contig_17,146967,147525,ena,CDS,.,+,0,.
contig_17,145983,146751,ena,CDS,.,+,0,.
contig_17,144470,144629,ena,CDS,.,+,0,.
contig_17,143551,143752,ena,CDS,.,+,0,.
contig_17,142821,143100,ena,CDS,.,+,0,.
contig_17,140275,140476,ena,CDS,.,+,0,.
contig_17,138758,139622,ena,CDS,.,+,0,.
contig_17,135961,136237,ena,CDS,.,+,0,.
contig_17,135444,135660,ena,CDS,.,+,0,.
contig_17,132344,132698,ena,CDS,.,+,0,.
contig_17,131315,131804,ena,CDS,.,+,0,.
contig_17,130871,131306,ena,CDS,.,+,0,.
contig_17,130074,130842,ena,CDS,.,+,0,.
contig_17,128745,129915,ena,CDS,.,+,0,.
contig_17,128332,128590,ena,CDS,.,+,0,.
contig_17,128000,128312,ena,CDS,.,+,0,.
contig_17,125701,126634,ena,CDS,.,+,0,.
contig_17,122430,122832,ena,CDS,.,+,0,.
contig_17,119824,120148,ena,CDS,.,+,0,.
contig_17,118017,119283,ena,CDS,.,+,0,.
contig_17,116797,117433,ena,CDS,.,+,0,.
contig_17,116304,116793,ena,CDS,.,+,0,.
contig_17,115531,116302,ena,CDS,.,+,0,.
contig_17,114717,115521,ena,CDS,.,+,0,.
contig_17,113508,113874,ena,CDS,.,+,0,.
contig_17,112989,113367,ena,CDS,.,+,0,.
contig_17,112770,112974,ena,CDS,.,+,0,.
contig_17,111427,111613,ena,CDS,.,+,0,.
contig_17,103649,104993,ena,CDS,.,+,0,.
contig_17,103302,103563,ena,CDS,.,+,0,.
contig_17,102266,102881,ena,CDS,.,+,0,.
contig_17,100611,102183,ena,CDS,.,+,0,.
contig_17,99537,100566,ena,CDS,.,+,0,.
contig_17,98692,99337,ena,CDS,.,+,0,.
contig_17,97425,98676,ena,CDS,.,+,0,.
contig_17,94837,95197,ena,CDS,.,+,0,.
contig_17,90618,94326,ena,CDS,.,+,0,.
contig_17,88858,90574,ena,CDS,.,+,0,.
contig_17,88351,88696,ena,CDS,.,+,0,.
contig_17,87686,87896,ena,CDS,.,+,0,.
contig_17,86501,86702,ena,CDS,.,+,0,.
contig_17,86192,86324,ena,CDS,.,+,0,.
contig_17,85220,85322,ena,CDS,.,+,0,.
contig_17,84784,84958,ena,CDS,.,+,0,.
contig_17,83971,84148,ena,CDS,.,+,0,.
contig_17,82134,82524,ena,CDS,.,+,0,.
contig_17,81185,81809,ena,CDS,.,+,0,.
contig_17,79447,81172,ena,CDS,.,+,0,.
contig_17,77933,79364,ena,CDS,.,+,0,.
contig_17,77007,77916,ena,CDS,.,+,0,.
contig_17,76683,76950,ena,CDS,.,+,0,.
contig_17,76492,76678,ena,CDS,.,+,0,.
contig_17,72728,72860,ena,CDS,.,+,0,.
contig_17,71143,71707,ena,CDS,.,+,0,.
contig_17,70591,70876,ena,CDS,.,+,0,.
contig_17,68997,69381,ena,CDS,.,+,0,.
contig_17,67978,68971,ena,CDS,.,+,0,.
contig_17,67334,67955,ena,CDS,.,+,0,.
contig_17,66917,67307,ena,CDS,.,+,0,.
contig_17,66542,66899,ena,CDS,.,+,0,.
contig_17,64909,66244,ena,CDS,.,+,0,.
contig_17,64454,64889,ena,CDS,.,+,0,.
contig_17,63760,64264,ena,CDS,.,+,0,.
contig_17,63392,63746,ena,CDS,.,+,0,.
contig_17,62849,63383,ena,CDS,.,+,0,.
contig_17,62444,62837,ena,CDS,.,+,0,.
contig_17,62108,62414,ena,CDS,.,+,0,.
contig_17,61551,62091,ena,CDS,.,+,0,.
contig_17,61207,61525,ena,CDS,.,+,0,.
contig_17,60822,61194,ena,CDS,.,+,0,.
contig_17,60405,60660,ena,CDS,.,+,0,.
contig_17,59804,60215,ena,CDS,.,+,0,.
contig_17,59091,59793,ena,CDS,.,+,0,.
contig_17,58740,59073,ena,CDS,.,+,0,.
contig_17,58451,58730,ena,CDS,.,+,0,.
contig_17,57605,58430,ena,CDS,.,+,0,.
contig_17,57349,57589,ena,CDS,.,+,0,.
contig_17,56687,57290,ena,CDS,.,+,0,.
contig_17,56041,56671,ena,CDS,.,+,0,.
contig_17,55715,56027,ena,CDS,.,+,0,.
contig_17,50356,54874,ena,CDS,.,+,0,.
contig_17,47945,49286,ena,CDS,.,+,0,.
contig_17,46824,47067,ena,CDS,.,+,0,.
contig_17,45835,46387,ena,CDS,.,+,0,.
contig_17,43191,45048,ena,CDS,.,+,0,.
contig_17,42516,43071,ena,CDS,.,+,0,.
contig_17,41601,42513,ena,CDS,.,+,0,.
contig_17,39078,40488,ena,CDS,.,+,0,.
contig_17,38057,38870,ena,CDS,.,+,0,.
contig_17,36102,37752,ena,CDS,.,+,0,.
contig_17,35120,36062,ena,CDS,.,+,0,.
contig_17,31259,32531,ena,CDS,.,+,0,.
contig_17,30046,31171,ena,CDS,.,+,0,.
contig_17,27770,29954,ena,CDS,.,+,0,.
contig_17,27198,27639,ena,CDS,.,+,0,.
contig_17,25536,26673,ena,CDS,.,+,0,.
contig_17,20559,20778,ena,CDS,.,+,0,.
contig_17,19337,19553,ena,CDS,.,+,0,.
contig_17,18661,19054,ena,CDS,.,+,0,.
contig_17,16696,16954,ena,CDS,.,+,0,.
contig_17,15710,15863,ena,CDS,.,+,0,.
contig_17,12950,14003,ena,CDS,.,+,0,.
contig_17,11440,12943,ena,CDS,.,+,0,.
contig_17,10812,11424,ena,CDS,.,+,0,.
contig_17,9972,10728,ena,CDS,.,+,0,.
contig_17,9355,9970,ena,CDS,.,+,0,.
contig_17,8193,9348,ena,CDS,.,+,0,.
contig_17,7333,8179,ena,CDS,.,+,0,.
contig_17,6152,7010,ena,CDS,.,+,0,.
contig_17,4458,5964,ena,CDS,.,+,0,.
contig_17,1441,3277,ena,CDS,.,+,0,.
contig_17,686,1394,ena,CDS,.,+,0,.
contig_17,290,683,ena,CDS,.,+,0,.
contig_52,138555,140094,ena,CDS,.,+,0,.
contig_52,138313,138508,ena,CDS,.,+,0,.
contig_52,138052,138247,ena,CDS,.,+,0,.
contig_52,137448,137919,ena,CDS,.,+,0,.
contig_52,136956,137331,ena,CDS,.,+,0,.
contig_52,135063,135756,ena,CDS,.,+,0,.
contig_52,134099,134882,ena,CDS,.,+,0,.
contig_52,133537,133819,ena,CDS,.,+,0,.
contig_52,132720,132951,ena,CDS,.,+,0,.
contig_52,131724,132666,ena,CDS,.,+,0,.
contig_52,130998,131598,ena,CDS,.,+,0,.
contig_52,130695,130902,ena,CDS,.,+,0,.
contig_52,130321,130693,ena,CDS,.,+,0,.
contig_52,129380,130250,ena,CDS,.,+,0,.
contig_52,129133,129292,ena,CDS,.,+,0,.
contig_52,128308,128908,ena,CDS,.,+,0,.
contig_52,126605,127004,ena,CDS,.,+,0,.
contig_52,124698,125013,ena,CDS,.,+,0,.
contig_52,124012,124243,ena,CDS,.,+,0,.
contig_52,121462,122254,ena,CDS,.,+,0,.
contig_52,119789,121250,ena,CDS,.,+,0,.
contig_52,118938,119775,ena,CDS,.,+,0,.
contig_52,117353,118520,ena,CDS,.,+,0,.
contig_52,116379,116958,ena,CDS,.,+,0,.
contig_52,112970,116237,ena,CDS,.,+,0,.
contig_52,111855,112947,ena,CDS,.,+,0,.
contig_52,110368,111385,ena,CDS,.,+,0,.
contig_52,109546,110233,ena,CDS,.,+,0,.
contig_52,108708,109452,ena,CDS,.,+,0,.
contig_52,106331,108671,ena,CDS,.,+,0,.
contig_52,105165,105357,ena,CDS,.,+,0,.
contig_52,104194,104497,ena,CDS,.,+,0,.
contig_52,102835,103051,ena,CDS,.,+,0,.
contig_52,102013,102655,ena,CDS,.,+,0,.
contig_52,100469,101786,ena,CDS,.,+,0,.
contig_52,99101,100031,ena,CDS,.,+,0,.
contig_52,98268,99048,ena,CDS,.,+,0,.
contig_52,97476,97803,ena,CDS,.,+,0,.
contig_52,97180,97414,ena,CDS,.,+,0,.
contig_52,96211,96472,ena,CDS,.,+,0,.
contig_52,95086,96034,ena,CDS,.,+,0,.
contig_52,93087,95082,ena,CDS,.,+,0,.
contig_52,92656,93079,ena,CDS,.,+,0,.
contig_52,90893,91364,ena,CDS,.,+,0,.
contig_52,90061,90274,ena,CDS,.,+,0,.
contig_52,89698,89950,ena,CDS,.,+,0,.
contig_52,87169,87808,ena,CDS,.,+,0,.
contig_52,85637,85757,ena,CDS,.,+,0,.
contig_52,84266,84656,ena,CDS,.,+,0,.
contig_52,83097,83319,ena,CDS,.,+,0,.
contig_52,82629,82986,ena,CDS,.,+,0,.
contig_52,80889,82470,ena,CDS,.,+,0,.
contig_52,78502,78694,ena,CDS,.,+,0,.
contig_52,77089,77314,ena,CDS,.,+,0,.
contig_52,75320,76103,ena,CDS,.,+,0,.
contig_52,74380,75016,ena,CDS,.,+,0,.
contig_52,73889,74258,ena,CDS,.,+,0,.
contig_52,72909,73881,ena,CDS,.,+,0,.
contig_52,70547,70784,ena,CDS,.,+,0,.
contig_52,67699,69103,ena,CDS,.,+,0,.
contig_52,66890,67475,ena,CDS,.,+,0,.
contig_52,66122,66644,ena,CDS,.,+,0,.
contig_52,65007,65196,ena,CDS,.,+,0,.
contig_52,63821,64376,ena,CDS,.,+,0,.
contig_52,61838,63479,ena,CDS,.,+,0,.
contig_52,61474,61765,ena,CDS,.,+,0,.
contig_52,61101,61341,ena,CDS,.,+,0,.
contig_52,60639,60963,ena,CDS,.,+,0,.
contig_52,60447,60570,ena,CDS,.,+,0,.
contig_52,58833,59796,ena,CDS,.,+,0,.
contig_52,57632,58547,ena,CDS,.,+,0,.
contig_52,56985,57519,ena,CDS,.,+,0,.
contig_52,56161,56356,ena,CDS,.,+,0,.
contig_52,53013,53379,ena,CDS,.,+,0,.
contig_52,50675,50819,ena,CDS,.,+,0,.
contig_52,48256,48670,ena,CDS,.,+,0,.
contig_52,43895,44213,ena,CDS,.,+,0,.
contig_52,38893,41917,ena,CDS,.,+,0,.
contig_52,37142,38390,ena,CDS,.,+,0,.
contig_52,36722,36911,ena,CDS,.,+,0,.
contig_52,36524,36698,ena,CDS,.,+,0,.
contig_52,33503,33875,ena,CDS,.,+,0,.
contig_52,31809,31956,ena,CDS,.,+,0,.
contig_52,26502,26697,ena,CDS,.,+,0,.
contig_52,26071,26266,ena,CDS,.,+,0,.
contig_52,25508,25649,ena,CDS,.,+,0,.
contig_52,24914,25313,ena,CDS,.,+,0,.
contig_52,24221,24518,ena,CDS,.,+,0,.
contig_52,21470,21590,ena,CDS,.,+,0,.
contig_52,20708,21401,ena,CDS,.,+,0,.
contig_52,20383,20656,ena,CDS,.,+,0,.
contig_52,18449,18977,ena,CDS,.,+,0,.
contig_52,17711,17858,ena,CDS,.,+,0,.
contig_52,16780,17149,ena,CDS,.,+,0,.
contig_52,15613,16681,ena,CDS,.,+,0,.
contig_52,14558,15299,ena,CDS,.,+,0,.
contig_52,14155,14554,ena,CDS,.,+,0,.
contig_52,13345,13963,ena,CDS,.,+,0,.
contig_52,8228,12347,ena,CDS,.,+,0,.
contig_52,4040,8069,ena,CDS,.,+,0,.
contig_52,3421,3790,ena,CDS,.,+,0,.
contig_52,2872,3361,ena,CDS,.,+,0,.
contig_52,1880,2582,ena,CDS,.,+,0,.
contig_52,1447,1876,ena,CDS,.,+,0,.
contig_52,756,1305,ena,CDS,.,+,0,.
contig_52,362,743,ena,CDS,.,+,0,.
contig_9,138331,138622,ena,CDS,.,+,0,.
contig_9,137609,137768,ena,CDS,.,+,0,.
contig_9,130720,131101,ena,CDS,.,+,0,.
contig_9,130335,130554,ena,CDS,.,+,0,.
contig_9,129248,129398,ena,CDS,.,+,0,.
contig_9,128100,128274,ena,CDS,.,+,0,.
contig_9,122539,125074,ena,CDS,.,+,0,.
contig_9,112028,112241,ena,CDS,.,+,0,.
contig_9,106174,106495,ena,CDS,.,+,0,.
contig_9,101968,103159,ena,CDS,.,+,0,.
contig_9,101000,101795,ena,CDS,.,+,0,.
contig_9,99995,100205,ena,CDS,.,+,0,.
contig_9,95930,96671,ena,CDS,.,+,0,.
contig_9,95289,95898,ena,CDS,.,+,0,.
contig_9,94418,95288,ena,CDS,.,+,0,.
contig_9,93098,94325,ena,CDS,.,+,0,.
contig_9,91362,93051,ena,CDS,.,+,0,.
contig_9,89785,90673,ena,CDS,.,+,0,.
contig_9,80922,81540,ena,CDS,.,+,0,.
contig_9,79224,79893,ena,CDS,.,+,0,.
contig_9,77919,78672,ena,CDS,.,+,0,.
contig_9,76691,77075,ena,CDS,.,+,0,.
contig_9,74448,75354,ena,CDS,.,+,0,.
contig_9,73641,74436,ena,CDS,.,+,0,.
contig_9,73267,73618,ena,CDS,.,+,0,.
contig_9,72077,73136,ena,CDS,.,+,0,.
contig_9,71910,72021,ena,CDS,.,+,0,.
contig_9,70806,71688,ena,CDS,.,+,0,.
contig_9,70381,70744,ena,CDS,.,+,0,.
contig_9,69448,70165,ena,CDS,.,+,0,.
contig_9,68432,68645,ena,CDS,.,+,0,.
contig_9,58079,59216,ena,CDS,.,+,0,.
contig_9,56886,58065,ena,CDS,.,+,0,.
contig_9,55443,56712,ena,CDS,.,+,0,.
contig_9,50967,51270,ena,CDS,.,+,0,.
contig_9,50614,50854,ena,CDS,.,+,0,.
contig_9,49762,50038,ena,CDS,.,+,0,.
contig_9,47843,49292,ena,CDS,.,+,0,.
contig_9,45396,47808,ena,CDS,.,+,0,.
contig_9,43392,45312,ena,CDS,.,+,0,.
contig_9,42492,43383,ena,CDS,.,+,0,.
contig_9,41054,42491,ena,CDS,.,+,0,.
contig_9,39698,40694,ena,CDS,.,+,0,.
contig_9,38677,39661,ena,CDS,.,+,0,.
contig_9,37649,38675,ena,CDS,.,+,0,.
contig_9,36660,37647,ena,CDS,.,+,0,.
contig_9,34818,36492,ena,CDS,.,+,0,.
contig_9,30488,33878,ena,CDS,.,+,0,.
contig_9,29507,30242,ena,CDS,.,+,0,.
contig_9,28171,29146,ena,CDS,.,+,0,.
contig_9,26473,27811,ena,CDS,.,+,0,.
contig_9,25218,25419,ena,CDS,.,+,0,.
contig_9,23231,23690,ena,CDS,.,+,0,.
contig_9,20110,21403,ena,CDS,.,+,0,.
contig_9,18335,18752,ena,CDS,.,+,0,.
contig_9,16833,18261,ena,CDS,.,+,0,.
contig_9,15734,16739,ena,CDS,.,+,0,.
contig_9,14363,14660,ena,CDS,.,+,0,.
contig_9,11032,11275,ena,CDS,.,+,0,.
contig_9,6991,7432,ena,CDS,.,+,0,.
contig_9,902,1091,ena,CDS,.,+,0,.
contig_25,133846,134368,ena,CDS,.,+,0,.
contig_25,132137,132587,ena,CDS,.,+,0,.
contig_25,128441,131447,ena,CDS,.,+,0,.
contig_25,127266,128334,ena,CDS,.,+,0,.
contig_25,126890,127151,ena,CDS,.,+,0,.
contig_25,125428,126223,ena,CDS,.,+,0,.
contig_25,125262,125418,ena,CDS,.,+,0,.
contig_25,124626,124704,ena,CDS,.,+,0,.
contig_25,124217,124445,ena,CDS,.,+,0,.
contig_25,121812,122016,ena,CDS,.,+,0,.
contig_25,119953,121315,ena,CDS,.,+,0,.
contig_25,118895,119885,ena,CDS,.,+,0,.
contig_25,117877,118756,ena,CDS,.,+,0,.
contig_25,116033,117092,ena,CDS,.,+,0,.
contig_25,114078,115401,ena,CDS,.,+,0,.
contig_25,112355,112505,ena,CDS,.,+,0,.
contig_25,111773,111932,ena,CDS,.,+,0,.
contig_25,110641,110794,ena,CDS,.,+,0,.
contig_25,110000,110609,ena,CDS,.,+,0,.
contig_25,109087,109390,ena,CDS,.,+,0,.
contig_25,107095,108955,ena,CDS,.,+,0,.
contig_25,104173,106453,ena,CDS,.,+,0,.
contig_25,102702,103983,ena,CDS,.,+,0,.
contig_25,102005,102632,ena,CDS,.,+,0,.
contig_25,100601,101900,ena,CDS,.,+,0,.
contig_25,98409,98679,ena,CDS,.,+,0,.
contig_25,94862,96827,ena,CDS,.,+,0,.
contig_25,93322,94684,ena,CDS,.,+,0,.
contig_25,92638,93319,ena,CDS,.,+,0,.
contig_25,91097,92588,ena,CDS,.,+,0,.
contig_25,89904,91020,ena,CDS,.,+,0,.
contig_25,89113,89899,ena,CDS,.,+,0,.
contig_25,88121,89045,ena,CDS,.,+,0,.
contig_25,86966,88016,ena,CDS,.,+,0,.
contig_25,86656,86908,ena,CDS,.,+,0,.
contig_25,85212,86649,ena,CDS,.,+,0,.
contig_25,84643,85201,ena,CDS,.,+,0,.
contig_25,83093,84347,ena,CDS,.,+,0,.
contig_25,81195,82797,ena,CDS,.,+,0,.
contig_25,77852,80870,ena,CDS,.,+,0,.
contig_25,76315,77572,ena,CDS,.,+,0,.
contig_25,75436,76291,ena,CDS,.,+,0,.
contig_25,74800,75190,ena,CDS,.,+,0,.
contig_25,73899,74127,ena,CDS,.,+,0,.
contig_25,69554,69962,ena,CDS,.,+,0,.
contig_25,67667,67778,ena,CDS,.,+,0,.
contig_25,67400,67532,ena,CDS,.,+,0,.
